timestamp,user_id,event_type,message
2026-07-30 11:14:47.886080,user_1,logout,logout event.
2026-07-30 11:03:47.886090,user_9,logout,logout event.
2026-07-30 11:53:47.886093,user_10,logout,logout event.
2026-07-30 12:16:47.886094,user_7,email_sent,Email sent from Jane Doe to John Doe about Project X and the London office.
2026-07-30 12:10:47.886095,user_6,login,User logged in from IP 192.168.1.194
2026-07-30 11:22:47.886096,user_2,file_access,UNKNOWN
2026-07-30 11:44:47.886097,user_4,login,User logged in from IP 192.168.1.233
2026-07-30 12:15:47.886098,user_1,file_access,Accessed sensitive document path: /home/user_10/docs/private_file_2.txt
2026-07-30 10:53:47.886099,user_6,logout,logout event.
2026-07-30 11:35:47.886100,user_5,file_access,Accessed sensitive document path: /home/user_10/docs/private_file_2.txt
2026-07-30 11:45:47.886100,user_8,network_connection,Connection to www.suspicious-site-5.com on port 8080
2026-07-30 11:24:47.886101,user_7,network_connection,Connection to www.suspicious-site-2.com on port 8080
2026-07-30 11:02:47.886103,user_1,file_access,Accessed sensitive document path: /home/user_10/docs/private_file_4.txt
2026-07-30 11:30:47.886104,user_9,login,User logged in from IP 192.168.1.191
2026-07-30 11:15:47.886104,user_4,logout,logout event.
2026-07-30 11:18:47.886105,user_2,logout,logout event.
2026-07-30 11:13:47.886106,user_8,network_connection,Connection to www.suspicious-site-4.com on port 8080
2026-07-30 11:12:47.886107,UNKNOWN,logout,logout event.
2026-07-30 10:58:47.886107,user_3,network_connection,Connection to www.suspicious-site-3.com on port 8080
2026-07-30 11:14:47.886108,user_10,network_connection,Connection to www.suspicious-site-1.com on port 8080
2026-07-30 11:13:47.886109,UNKNOWN,login,User logged in from IP 192.168.1.142
2026-07-30 11:15:47.886109,UNKNOWN,logout,logout event.
2026-07-30 12:23:47.886110,user_2,email_sent,Email sent from Jane Doe to John Doe about Project X and the London office.
2026-07-30 11:03:47.886111,user_1,file_access,Accessed sensitive document path: /home/user_10/docs/private_file_2.txt
2026-07-30 11:48:47.886112,UNKNOWN,email_sent,Email sent from Jane Doe to John Doe about Project X and the London office.
2026-07-30 11:23:47.886112,user_1,network_connection,Connection to www.suspicious-site-3.com on port 8080
2026-07-30 12:05:47.886113,user_6,network_connection,Connection to www.suspicious-site-4.com on port 8080
2026-07-30 10:58:47.886114,user_7,file_access,Accessed sensitive document path: /home/user_10/docs/private_file_3.txt
2026-07-30 11:06:47.886115,UNKNOWN,file_access,UNKNOWN
2026-07-30 10:59:47.886115,user_3,login,User logged in from IP 192.168.1.234
2026-07-30 11:06:47.886116,user_9,logout,logout event.
2026-07-30 12:06:47.886117,user_4,email_sent,Email sent from Jane Doe to John Doe about Project X and the London office.
2026-07-30 11:33:47.886117,user_3,file_access,Accessed sensitive document path: /home/user_10/docs/private_file_5.txt
2026-07-30 12:00:47.886118,user_6,file_access,Accessed sensitive document path: /home/user_10/docs/private_file_2.txt
