row_index,timestamp,event_type,entity_text,entity_label
3,2026-07-30 12:16:47.886094,email_sent,Email,PERSON
3,2026-07-30 12:16:47.886094,email_sent,Jane Doe,PERSON
3,2026-07-30 12:16:47.886094,email_sent,John Doe,PERSON
3,2026-07-30 12:16:47.886094,email_sent,Project X,ORG
3,2026-07-30 12:16:47.886094,email_sent,London,GPE
4,2026-07-30 12:10:47.886095,login,IP,ORG
4,2026-07-30 12:10:47.886095,login,192.168.1.194,CARDINAL
6,2026-07-30 11:44:47.886097,login,IP,ORG
10,2026-07-30 11:45:47.886100,network_connection,8080,CARDINAL
11,2026-07-30 11:24:47.886101,network_connection,8080,CARDINAL
13,2026-07-30 11:30:47.886104,login,IP 192.168.1.191,ORG
16,2026-07-30 11:13:47.886106,network_connection,8080,CARDINAL
18,2026-07-30 10:58:47.886107,network_connection,8080,CARDINAL
19,2026-07-30 11:14:47.886108,network_connection,8080,CARDINAL
20,2026-07-30 11:13:47.886109,login,IP,ORG
22,2026-07-30 12:23:47.886110,email_sent,Email,PERSON
22,2026-07-30 12:23:47.886110,email_sent,Jane Doe,PERSON
22,2026-07-30 12:23:47.886110,email_sent,John Doe,PERSON
22,2026-07-30 12:23:47.886110,email_sent,Project X,ORG
22,2026-07-30 12:23:47.886110,email_sent,London,GPE
24,2026-07-30 11:48:47.886112,email_sent,Email,PERSON
24,2026-07-30 11:48:47.886112,email_sent,Jane Doe,PERSON
24,2026-07-30 11:48:47.886112,email_sent,John Doe,PERSON
24,2026-07-30 11:48:47.886112,email_sent,Project X,ORG
24,2026-07-30 11:48:47.886112,email_sent,London,GPE
25,2026-07-30 11:23:47.886112,network_connection,8080,CARDINAL
26,2026-07-30 12:05:47.886113,network_connection,8080,CARDINAL
29,2026-07-30 10:59:47.886115,login,IP 192.168.1.234,ORG
31,2026-07-30 12:06:47.886117,email_sent,Email,PERSON
31,2026-07-30 12:06:47.886117,email_sent,Jane Doe,PERSON
31,2026-07-30 12:06:47.886117,email_sent,John Doe,PERSON
31,2026-07-30 12:06:47.886117,email_sent,Project X,ORG
31,2026-07-30 12:06:47.886117,email_sent,London,GPE
34,2026-07-30 12:14:47.886119,network_connection,8080,CARDINAL
35,2026-07-30 11:30:47.886120,network_connection,8080,CARDINAL
36,2026-07-30 11:58:47.886120,network_connection,8080,CARDINAL
37,2026-07-30 12:10:47.886121,email_sent,Email,PERSON
37,2026-07-30 12:10:47.886121,email_sent,Jane Doe,PERSON
37,2026-07-30 12:10:47.886121,email_sent,John Doe,PERSON
37,2026-07-30 12:10:47.886121,email_sent,Project X,ORG
37,2026-07-30 12:10:47.886121,email_sent,London,GPE
38,2026-07-30 11:03:47.886122,login,IP 192.168.1.124,ORG
39,2026-07-30 10:49:47.886122,login,IP 192.168.1.199,ORG
40,2026-07-30 10:49:47.886123,email_sent,Email,PERSON
40,2026-07-30 10:49:47.886123,email_sent,Jane Doe,PERSON
40,2026-07-30 10:49:47.886123,email_sent,John Doe,PERSON
40,2026-07-30 10:49:47.886123,email_sent,Project X,ORG
40,2026-07-30 10:49:47.886123,email_sent,London,GPE
41,2026-07-30 10:59:47.886124,email_sent,Email,PERSON
41,2026-07-30 10:59:47.886124,email_sent,Jane Doe,PERSON
41,2026-07-30 10:59:47.886124,email_sent,John Doe,PERSON
41,2026-07-30 10:59:47.886124,email_sent,Project X,ORG
41,2026-07-30 10:59:47.886124,email_sent,London,GPE
42,2026-07-30 11:45:47.886125,network_connection,8080,CARDINAL
43,2026-07-30 11:05:47.886125,login,IP 192.168.1.105,ORG
45,2026-07-30 11:44:47.886127,email_sent,Email,PERSON
45,2026-07-30 11:44:47.886127,email_sent,Jane Doe,PERSON
45,2026-07-30 11:44:47.886127,email_sent,John Doe,PERSON
45,2026-07-30 11:44:47.886127,email_sent,Project X,ORG
45,2026-07-30 11:44:47.886127,email_sent,London,GPE
46,2026-07-30 11:56:47.886128,email_sent,Email,PERSON
46,2026-07-30 11:56:47.886128,email_sent,Jane Doe,PERSON
46,2026-07-30 11:56:47.886128,email_sent,John Doe,PERSON
46,2026-07-30 11:56:47.886128,email_sent,Project X,ORG
46,2026-07-30 11:56:47.886128,email_sent,London,GPE
52,2026-07-30 12:07:47.886132,email_sent,Email,PERSON
52,2026-07-30 12:07:47.886132,email_sent,Jane Doe,PERSON
52,2026-07-30 12:07:47.886132,email_sent,John Doe,PERSON
52,2026-07-30 12:07:47.886132,email_sent,Project X,ORG
52,2026-07-30 12:07:47.886132,email_sent,London,GPE
53,2026-07-30 11:48:47.886133,network_connection,8080,CARDINAL
54,2026-07-30 11:07:47.886133,email_sent,Email,PERSON
54,2026-07-30 11:07:47.886133,email_sent,Jane Doe,PERSON
54,2026-07-30 11:07:47.886133,email_sent,John Doe,PERSON
54,2026-07-30 11:07:47.886133,email_sent,Project X,ORG
54,2026-07-30 11:07:47.886133,email_sent,London,GPE
56,2026-07-30 11:27:47.886135,network_connection,8080,CARDINAL
58,2026-07-30 11:00:47.886136,login,192.168.1.3,CARDINAL
59,2026-07-30 11:34:47.886137,login,IP,ORG
59,2026-07-30 11:34:47.886137,login,192.168.1.132,CARDINAL
63,2026-07-30 11:14:47.886140,email_sent,Email,PERSON
